filename,checksum,uid,θh_pos_is_ventral,label,type,event,t_range
2023-01-16-15-data.h5,c3894517459a8059c768b9acfde657d01baf909368ad541e5426e6debd6e42ab,2023-01-16-15,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-16-22-data.h5,3005dee0dd49a526ff418b9d995e2f7880c6e2620b27835ba30c68993b149c0e,2023-01-16-22,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-17-01-data.h5,edb3df7ee253d58501f6645e9cf50a80ee37ad68aa33478b60514a13a2cc3d51,2023-01-17-01,true,true,"baseline,neuropal",
2023-01-17-07-data.h5,bea9a90f104a756f09aed8e22fe52a10f53dbe8ac47d10d6b819dbb69350fcaa,2023-01-17-07,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-17-14-data.h5,de69ab3d454b020345ef4556453c1f482681b5eafc9fe89d42b384198071209a,2023-01-17-14,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-18-01-data.h5,83a24e06a6c045b6ef9d9da59dc2bccf7300bcf43d0cf95a374d1fb7eebc2d2b,2023-01-18-01,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-19-01-data.h5,fc3207951da52fa6186b83259b0c6cccffb1803513eeb5ee6efa7b2212ab7f12,2023-01-19-01,false,true,"baseline,neuropal",
2023-01-19-08-data.h5,80b0922aca67c77b48d3d05116efff308060f877b31c1471fab8120fb2c03d17,2023-01-19-08,true,true,"baseline,neuropal",
2023-01-19-15-data.h5,8b55cdaea4e02b1287ab194a0e790ddb48c1ca6be8cf0342e128f7d0aa7dbdae,2023-01-19-15,false,true,"baseline,neuropal",
2023-01-19-22-data.h5,727ed035454485d9728fa4f946259454c979534543188358caf63de55b5a84bc,2023-01-19-22,true,true,"baseline,neuropal",
2023-01-23-01-data.h5,6a415a6a18123cc160d2841c4aada05cc9afd0fea5c86138ae68764367ac9861,2023-01-23-01,true,true,"baseline,neuropal",
2023-01-23-08-data.h5,ad514f3e768f908c41ea416f68f73c585e81db63dd2b4b324b440949d368edd9,2023-01-23-08,true,true,"baseline,neuropal",
2023-01-23-15-data.h5,090a6cd463c64074100d099bd2d098e852a389b656f9ad46120689db0d16d3ef,2023-01-23-15,true,true,"baseline,neuropal",
2023-01-23-21-data.h5,e124994f82c6ffd05671f53762bce165f04238dcab46c976ed28a857ee7a47b4,2023-01-23-21,true,true,"baseline,neuropal",
2023-03-07-01-data.h5,e4e9786717c0963e919f67b1c02f91cf435c249cff6af217c25192346a1fbf54,2023-03-07-01,true,true,"baseline,neuropal",
